rating,date,review,platform,cleaned_review,sentiment
2,30 December 2024,"I was using it for long time, but have to stop using it because
                recently I got a used item and when I talked to support team
                they keep asking me for clearer image of product although the
                image was perfectly fine. They is no further option for help. I
                can't tolerate this kind of cheating and also the prices are
                also on higher side, compare to others.",blinkit,using long time stop using recently got used item talked support team keep asking clearer image product although image perfectly fine option help cant tolerate kind cheating also price also higher side compare others,negative
1,4 November 2024,"Loving the fast deliveries and mostly they are great. There is
                no other quick delivery agent in my area so I can't compare. I
                would have given 4 star but 1 star is because of the frustration
                for whenever there is an issue, you would end up getting
                frustrated with the customer care. Not really ""caring"" for their
                customers. But anyway, I'm stuck with them since I'm have no
                option to switch to someone else.",blinkit,loving fast delivery mostly great quick delivery agent area cant compare would given star star frustration whenever issue would end getting frustrated customer care really caring customer anyway im stuck since im option switch someone else,negative
1,31 October 2024,"The customer support is very disappointing. I recently bought
                some electronic products that arrived faulty. I’ve been trying
                to reach customer support, but my chat sessions keep getting
                disconnected with the message, ""we are currently experiencing a
                high volume of queries."" Initially, I thought it was a one-time
                issue, but after 3-4 attempts, I received the same response. I
                then checked on my other, less expensive orders and found that
                customer care was readily available. BE CAREFUL WITH THIS AP",blinkit,customer support disappointing recently bought electronic product arrived faulty ive trying reach customer support chat session keep getting disconnected message currently experiencing high volume query initially thought onetime issue attempt received response checked less expensive order found customer care readily available careful ap,negative
5,29 August 2024,"I've been using Blinkit for a while now, and it has become my
                go-to app for grocery shopping. The app is well-designed, easy
                to navigate, and offers a wide range of products. The best part?
                Super quick delivery, often within minutes! However, one area
                where Blinkit could take a leaf out of Swiggy's book is the
                delivery charges. While I appreciate the speed, the added
                delivery fee cn sometimes make small purchase option or a
                membership model like instamart would definitely elevate the
                experience",blinkit,ive using blinkit become goto app grocery shopping app welldesigned easy navigate offer wide range product best part super quick delivery often within minute however one area blinkit could take leaf swiggys book delivery charge appreciate speed added delivery fee cn sometimes make small purchase option membership model like instamart would definitely elevate experience,positive
2,31 December 2024,"Blinkit was my go to app and it was rare that it disappointed
                me,but today it has disappointed me on a large scale. I order
                items worth 340,the order was paid and after 20 mins they
                cancelled my order with 'items are out of stock' which was not
                earlier,the refund would be after 6 days and there is no room
                for complaint because they have closed the conversation "".
                Thankyou,blinkit,I would no further order from you again. Highly
                disappointed. Regards, Nivriti",blinkit,blinkit go app rare disappointed mebut today disappointed large scale order item worth order paid min cancelled order item stock earlierthe refund would day room complaint closed conversation thankyoublinkiti would order highly disappointed regard nivriti,negative
5,31 December 2024,"After my first order about six months before with Blinkit, now i
                have become a regular customer with them. The reason - very good
                quality products, good packing, well behaved delivery persons,
                punctual delivery and absolutely safe and quick transactions.
                Definately I would give 5/5 rating - recommend others to go with
                them. Thanks and good wishes.",blinkit,first order six month blinkit become regular customer reason good quality product good packing well behaved delivery person punctual delivery absolutely safe quick transaction definately would give rating recommend others go thanks good wish,positive
1,28 December 2024,"I had a terrible experience with Blinkit. I ordered a few items
                on Christmas and received one item less. I immediately raised
                the issue with Blinkit support, and they assured me it would be
                resolved within 24 hours. However, even after three days,
                there’s been no resolution. To make matters worse, they closed
                the ticket without resolving the issue, and now I can’t raise
                the concern again as the 24-hour window has passed. Extremely
                disappointing service—I would not recommend it to anyone.",blinkit,terrible experience blinkit ordered item christmas received one item less immediately raised issue blinkit support assured would resolved within hour however even three day there resolution make matter worse closed ticket without resolving issue cant raise concern hour window passed extremely disappointing servicei would recommend anyone,negative
1,29 December 2024,"They have over priced items. The electronic items are always
                damaged, They charge a handling fees but the products delivered
                are not at all upto mark, they deliver Rotten and stale
                vegetables and fruits. I would never recommended buying
                groceries from this application. No support Executive is
                available for to report the issue.",blinkit,priced item electronic item always damaged charge handling fee product delivered upto mark deliver rotten stale vegetable fruit would never recommended buying grocery application support executive available report issue,negative
1,28 December 2024,"had cancell order but they just give you promo code instead of
                refund. On top of that they force you to use the entire amount
                in one go. we might not have laws in India to delt(not sure)
                such scenarios & they seem to be exploiting the loopholes.
                Taking customers for granted, will definitely hit your business,
                better to mend your ways before it's too late.",blinkit,cancell order give promo code instead refund top force use entire amount one go might law india deltnot sure scenario seem exploiting loophole taking customer granted definitely hit business better mend way late,negative
1,31 December 2024,"Sometimes they deliver stale products like eggs and breads.
                Sometimes they show you the free item added in your cart post
                doing payment they reflect free item not available. If they
                don't have such offers then why they are showing it on there app
                screen or it is just a way to be fool your customer.",blinkit,sometimes deliver stale product like egg bread sometimes show free item added cart post payment reflect free item available dont offer showing app screen way fool customer,negative
